"Date","Price","Open","High","Low","Vol.","Change %"
"May 16, 2021","1.44967","1.48591","1.60866","1.34889","2.21B","-2.44%"
"May 15, 2021","1.48591","1.40230","1.57989","1.32462","2.30B","5.88%"
"May 14, 2021","1.40342","1.36156","1.44330","1.32248","1.19B","3.09%"
"May 13, 2021","1.36140","1.26899","1.38878","1.20537","2.14B","7.34%"
"May 12, 2021","1.26829","1.47810","1.54351","1.24312","1.65B","-14.19%"
"May 11, 2021","1.47796","1.39107","1.48676","1.35870","1.18B","6.25%"
"May 10, 2021","1.39101","1.53451","1.62613","1.23689","1.90B","-9.35%"
"May 09, 2021","1.53447","1.56235","1.59317","1.44818","1.16B","-1.79%"
"May 08, 2021","1.56237","1.58091","1.62614","1.54152","796.72M","-1.18%"
"May 07, 2021","1.58103","1.60296","1.68963","1.51153","1.44B","-1.37%"
"May 06, 2021","1.60294","1.61386","1.76001","1.54527","2.37B","-0.68%"
"May 05, 2021","1.61396","1.39752","1.62073","1.39752","2.01B","15.56%"
"May 04, 2021","1.39664","1.55463","1.55703","1.35493","2.18B","-10.17%"
"May 03, 2021","1.55474","1.56112","1.61913","1.52413","1.05B","-0.41%"
"May 02, 2021","1.56112","1.65073","1.65348","1.53209","947.88M","-5.43%"
"May 01, 2021","1.65073","1.59851","1.66456","1.52915","1.11B","3.36%"
"Apr 30, 2021","1.59707","1.39814","1.63523","1.37604","2.26B","14.23%"
"Apr 29, 2021","1.39814","1.35790","1.41707","1.32815","1.37B","2.96%"
"Apr 28, 2021","1.35801","1.40180","1.44663","1.28765","1.77B","-3.12%"
"Apr 27, 2021","1.40174","1.36672","1.45828","1.33240","2.40B","2.54%"
"Apr 26, 2021","1.36699","1.03384","1.36882","1.01794","2.94B","32.23%"
"Apr 25, 2021","1.03384","1.05015","1.15362","0.95088","1.74B","-1.55%"
"Apr 24, 2021","1.05015","1.17025","1.17095","1.02325","1.69B","-10.26%"
"Apr 23, 2021","1.17023","1.15859","1.19593","0.89374","4.24B","0.98%"
"Apr 22, 2021","1.15886","1.29067","1.41758","1.10427","2.74B","-10.20%"
"Apr 21, 2021","1.29046","1.38614","1.46239","1.28289","2.00B","-6.90%"
"Apr 20, 2021","1.38614","1.30944","1.44517","1.18308","2.45B","5.88%"
"Apr 19, 2021","1.30918","1.40811","1.53084","1.25649","2.64B","-7.02%"
"Apr 18, 2021","1.40794","1.53957","1.56266","1.16193","3.48B","-8.61%"
"Apr 17, 2021","1.54064","1.54768","1.73876","1.53308","1.74B","-0.44%"
"Apr 16, 2021","1.54747","1.75840","1.80402","1.44072","2.86B","-11.97%"
"Apr 15, 2021","1.75780","1.83563","1.88408","1.65854","1.84B","-4.27%"
"Apr 14, 2021","1.83625","1.79613","1.96332","1.57032","3.58B","2.23%"
"Apr 13, 2021","1.79627","1.46844","1.88626","1.42122","4.05B","22.38%"
"Apr 12, 2021","1.46773","1.35479","1.47190","1.31970","1.78B","8.32%"
"Apr 11, 2021","1.35498","1.37428","1.49007","1.30840","3.15B","-1.41%"
"Apr 10, 2021","1.37431","1.01909","1.39530","1.00711","4.31B","34.85%"
"Apr 09, 2021","1.01916","1.05784","1.08335","0.98490","1.61B","-3.66%"
"Apr 08, 2021","1.05784","0.91658","1.07201","0.90415","2.03B","15.41%"
"Apr 07, 2021","0.91658","1.09138","1.10128","0.85966","3.88B","-15.95%"
"Apr 06, 2021","1.09057","0.91333","1.11471","0.81318","6.43B","19.42%"
